title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Die Perle, Chromolithograph Illustration","Martin Gerlach","1872","Illustration of a series of gold, diamond and pearl jewelry.","chromolithographs;brooches;jewelry;pins (jewelry);rings (jewelry)","","","","The Miriam and Ira D. Wallach Division of Art, Prints and Photographs, Art &amp; Architecture Collection, New York Public Library.","","Image;StillImage","image/jpeg","de","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_011_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_011.jpg",/make_believe_public/items/make_believe_011.html
"Portrait of James J. Hill","Charles Alfred Zimmerman","1885","Studio portrait of the founder of the Great Northern Railroad company.","portraits;vests (garments);jackets;facial hairstyles","St. Paul, MN","44.95352842","-93.09369854","Minnesota Historical Society, Minnesota Digital Library","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_012_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_012.jpg",/make_believe_public/items/make_believe_012.html
"Great Northern Railway and Connections","Great Northern Railway","1909","Map of the Great Nothern Railway stations, reaching from St. Paul, MN to Seattle, WA.","transportation maps;railroads (infrastructure);cartography (discipline)","","","","Manuscripts, Archives, and Special Collections, Washington State University Libraries","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_013_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_013.jpg",/make_believe_public/items/make_believe_013.html
"Advertisement for Dutch Settlement in Montana","Great Northern Railway","1910-10-05","Advertisement for the Chinook, Montana settlement in a Wisconsin-based Dutch language newspaper.","advertising;immigration;farmers (people in agriculture);farming (activity or system);newspapers","De Pere, WI","44.44884606","-88.05831432","Delpher","","Image;StillImage","image/jpeg","nl","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_014_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_014.jpg",/make_believe_public/items/make_believe_014.html
"Herman Antonie Van Valkenburg","","1890","Studio portrait","studio portraits;facial hairstyles;facial hairstyles;greatcoats","Spokane, WA","47.65849572","-117.4203818","&quot;Miscellaneous Photos,&quot; nod., Northwestern and Pacific Hypotheek Bank Records, General Operations (Two or More Companies), Box 11, Folder 9, Eastern Washington State Historical Society (Northwest Museum of Arts and Culture), Spokane, WA. https: //archiveswest.orbiscascade.org/ark: 80444/xv314396.","","Image;StillImage","image/jpeg","nl","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_015_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_015.jpg",/make_believe_public/items/make_believe_015.html
"Spokane and the Inland Empire","Northern Pacific Railroad","1900","Booster pamphlet cover illustration","pamphlets;boosterism;natural landscapes;mountains (landforms);railroad logos","Cheney, WA","47.48707358","-117.5750755","Inland Automobile Association Records, 1903–1974 (inclusive), 7 cubic ft., SPC 974-0011, Archives &amp; Special Collections, Eastern Washington University Libraries, Cheney, WA.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_016_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_016.jpg",/make_believe_public/items/make_believe_016.html
"View of Cook&#39;s Motor Line from Spokane Heights","C. Windsor","1890-04","Bird&#39;s eye Spokane residential area illustration","cityscapes (representations);streetcars;hills (landforms);urban areas","St. Paul, MN","44.95352842","-93.09369854","Ned M. Barnes Northwest Room, Spokane Public Library","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_017_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_017.jpg",/make_believe_public/items/make_believe_017.html
"Phoenix Lumber Company Letterhead","Phoenix Lumber Company","1918-10-03","Detail from correspondence between the company and the Arcadia Valley Fruit Grower&#39;s Association","letterheads;commercial correspondence;botanical illustrations;graphic design","Spokane, WA","47.65849572","-117.4203818","Arcadia Valley Fruit Growers Association Records, 1909-1918. MsSC 115. Eastern Washington State Historical Society (Northwest Museum of Arts and Culture). Spokane, WA.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_018_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_018.jpg",/make_believe_public/items/make_believe_018.html
"Travelling Musicians in Spokane","","1910","Travelling traditional Dutch musicians photographed in a Spokane residence.","photographs;group portraits;brass instruments","Spokane, WA","47.65849572","-117.4203818","&quot;Miscellaneous Photos,&quot; nod., Northwestern and Pacific Hypotheek Bank Records, General Operations (Two or More Companies), Box 11, Folder 9, Eastern Washington State Historical Society (Northwest Museum of Arts and Culture), Spokane, WA. https: //archiveswest.orbiscascade.org/ark: 80444/xv314396.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_019_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_019.jpg",/make_believe_public/items/make_believe_019.html
"Spokane Falls, Below Power Station","Lee Morehouse","1900","Phoenix Saw Mill on right, Spokane Flour Mills on left.","industrial buildings;rapids;brick structures;lumber;sawmills (factories);flour mills","621 W Mallon Avenue, Spokane, WA","47.66515283","-117.421923","Series I: Glass Plate Negatives, Box 41, Major Lee Moorhouse Photographs (PH036), Special Collections and University Archives, University of Oregon Libraries, https: //scua.uoregon.edu/repositories/2/resources/3331.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_020_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_020.jpg",/make_believe_public/items/make_believe_020.html
"Souvenir Card, Spokane, Washington, 1899","","1899","Collage of four buildings and the Monroe St. Bridge.","collages (visual works);arch bridges;souvenirs","Spokane, WA","47.65849572","-117.4203818","Postcard Collection, Northwest Room, Spokane Public Library, identifier NWC 20. NW – Washington – Spokane – Buildings (#02)","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_021_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_021.jpg",/make_believe_public/items/make_believe_021.html
"Interior Old National Bank","","1910","Postcard of the Old National Bank interior, featuring two rows of green marble columns.","postcards;postcards;green marble;lighting fixtures;bank buildings","422 W Riverside Ave, Spokane, WA","47.65846588","-117.419144","Postcard Collection, Northwest Room, Spokane Public Library, identifier NWC 20. NW – Washington – Spokane – Banks – Old National Bank (#04)","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_022_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_022.jpg",/make_believe_public/items/make_believe_022.html
"Thomas G. Thomson","","1900","Studio portrait","studio portraits;facial hairstyles;neckties","Spokane, WA","47.65849572","-117.4203818","&quot;Miscellaneous Photos,&quot; nod., Northwestern and Pacific Hypotheek Bank Records, General Operations (Two or More Companies), Box 11, Folder 9, Eastern Washington State Historical Society (Northwest Museum of Arts and Culture), Spokane, WA. https: //archiveswest.orbiscascade.org/ark: 80444/xv314396.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_023_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_023.jpg",/make_believe_public/items/make_believe_023.html
"Nederlanders in Amerika","Jacob van Hinte","1928","Copyright Page of &lt;em&gt;Nederlanders in Amerika&lt;/em&gt;","title pages;books;academic dissertations;emigrants;colonies","Groningen, NL","53.21962018","6.56946985","Koninklijke Bibliotheek","","Image;StillImage","image/jpeg","nl","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_024_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_024.jpg",/make_believe_public/items/make_believe_024.html
"Northwestern and Pacific Hypotheekbank Correspondence","Thomas G. Thomson","1898","Correspondence between Thomson and Alfred R. Stratton","letters (correspondence);commercial correspondence;insurance;real estate","Spokane, WA","47.65849572","-117.4203818","&lt;em&gt;Alfred R. Stratton Papers&lt;/em&gt;, 1895–1944. MsSC 140. Eastern Washington State Historical Society (Northwest Museum of Arts and Culture), Spokane, WA.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_025_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_025.jpg",/make_believe_public/items/make_believe_025.html
"The Monroe Doctrine, 1823","Allyn Cox","1973","Oil on canvas, Great Experiment Hall, Cox Corridors, Us. Capitol.","murals (general, decorations on wall);oil paintings (visual works);terrestrial globes;military uniforms;classicism","Washington, DC","38.89011424","-77.00814928","Photograph by Architect of the Capitol, October 12, 2011, https: //www.aoc.gov.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_026_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_026.jpg",/make_believe_public/items/make_believe_026.html
"The Pull of the Monroe Magnet","Udo Keppler","1913-08-13","Political cartoon featured in &lt;em&gt;Puck Magazine&lt;/em&gt;.","political cartoons;caricatures;magnets;explosions;satire (artistic device)","","","","Geographicus Rare Antique Maps, https: //www.geographicus.com/P/AntiqueMap/monroemagnet-puck-1913 (accessed June 15, 2024).","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_027_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_027.jpg",/make_believe_public/items/make_believe_027.html
"Uncle Sam Sees the Danger","&quot;L.A.D.&quot;","1901-02--01","Political cartoon","political cartoons;public schools (institutions);ships","Tacoma, WA","47.25601169","-122.445065","Tacoma Public Library Northwest Room, identifier AS021901.png, https: //www.tacomalibrary.org/northwest-room (accessed June 15, 2024).","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_028_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_028.jpg",/make_believe_public/items/make_believe_028.html
"Pat Kanim, Snoqualmie Chief","George N. Moore","1855","Photographic print on cabinet card (copied from an earlier tintype, possibly 1850s), ca. 1855 (printed after 1870).","photographs;tintypes (photographs);hats;feathers (animal components)","","","","Museum of History and Industry, Seattle, SHS1679, accession no. 6888, University of Washington, https: //mohai.org/ (accessed June 15, 2024).","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_029_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_029.jpg",/make_believe_public/items/make_believe_029.html
"The &quot;Sawmill Phoenix&quot;","","1892","&lt;em&gt;Phoenix Lumber Company and Sawmill on the riverbank at the foot of Post&lt;/em&gt; and Wall Streets.","sawmills (factories);industrial sites;lumber;smokestacks;log wagons","N Post St &amp; W Spokane Falls Blvd, Spokane, WA","47.66050946","-117.4235346","Oversized Photo Collection, Box 10, #05, Northwest Room, Spokane Public Library.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_030_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_030.jpg",/make_believe_public/items/make_believe_030.html
"City of Sunshine and Power Booster Pamphlet","Shaw &amp; Borden Company","1907","Brochure published by the Spokane company as a celebration of the 18th anniversary of their business with cover illustration engraving work done by the American Engraving Company of Spokane.","brochures;promotional materials;engraving (action);illustrations","609 Riverside Avenue, Spokane, WA","47.65765135","-117.4218746","Eastern Washington State Historical Society. Ephemera Business Collection. Northwest Museum of Arts and Culture, Spokane, WA.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_031_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_031.jpg",/make_believe_public/items/make_believe_031.html
"Main Power of the Spokane River","C. Windsor","1890-01","Illustration of the Spokane Falls and surrounding businesses.","illustrations;rivers;waterfalls (natural bodies of water);bridges;industrial buildings","Spokane, WA","47.65849572","-117.4203818","Inland Northwest Special Collections, Spokane Public Library, Spokane, WA.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_032_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_032.jpg",/make_believe_public/items/make_believe_032.html
"E. F. Cartier Van Dissel","","1902","Studio portrait","studio portraits;bow ties;facial hairstyles","","","","New York Public Library, Digital Collections, https: //archive.org/details/menofpacificcoas00sanf (accessed June 15, 2024).","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_033_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_033.jpg",/make_believe_public/items/make_believe_033.html
"Article on Dutch Settlement in Springdale","","1913-08-17","Advertisement for the Springdale, WA settlement in English-language newspaper.","advertising;newspapers;real estate;immigration;deforestation;economic development","Spokane, WA","47.65849572","-117.4203818","&lt;em&gt;Spokane Chronicle&lt;/em&gt; (Spokane, WA), October 17, 1913, p. 8.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_034_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_034.jpg",/make_believe_public/items/make_believe_034.html
"Diary Entry","Abraham Rutgers Van der Loeff","1893","A short story written by the author titled &quot;Chinese Spiritualism&quot;, featuring a series of racialize illustrations of Chinese caricatures, dragons and devils.","diaries;handwriting;caricatures;dragons;marginal illustrations","Groningen, NL","53.21962018","6.56946985","A. Rutgers Van der Loeff Diaries, 1893?–1916. MsSC 125. Eastern Washington State Historical Society (Northwest Museum of Arts and Culture), Spokane, WA.","","Image;StillImage","image/jpeg","nl","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_035_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_035.jpg",/make_believe_public/items/make_believe_035.html
"Spokane Athletic Club","Adolph Selige Publishing Company","1907","Postcard of the Spokane Athletic Club.","postcards;postcards;athletic clubs;arches;windows;flags","Spokane, WA","47.65849572","-117.4203818","Postcard Collection, Northwest Room, Spokane Public Library, accessed January 24, 2026, https: //lange.spokanelibrary.org/items/show/5185.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_036_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_036.jpg",/make_believe_public/items/make_believe_036.html
"First Annual Minstrel Show","Spokane Athletic Club","1913-02-11","Brochure for event at the Spokane Auditorium Theater","brochures;graphic design;entertainment events;advertising","Spokane, WA","47.65849572","-117.4203818","Marjorie Norman Hawkins Papers, 1913–1968. MsSC 153. Eastern Washington State Historical Society (Northwest Museum of Arts and Culture). Spokane, WA.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_037_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_037.jpg",/make_believe_public/items/make_believe_037.html
"Injured Innocence","Centennial Mill Company","1910","Trade card advertisement for Centennial Mills Company.","trade cards;advertising;printed ephemera;kitchens;furniture;flour mills","Spokane, WA","47.65849572","-117.4203818","Eastern Washington State Historical Society. Ephemera Collection. Northwest Museum of Arts and Culture, Spokane, WA.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_038_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_038.jpg",/make_believe_public/items/make_believe_038.html
"Injured Innocence, Detail","Centennial Mill Company","1910","Detail of trade card advertisement for Centennial Mills Company.","trade cards;advertising;wheatstacks;packaging","Spokane, WA","47.65849572","-117.4203818","Eastern Washington State Historical Society. Ephemera Collection. Northwest Museum of Arts and Culture, Spokane, WA.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_039_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_039.jpg",/make_believe_public/items/make_believe_039.html
"Spokane Falls and Her Natural Resources","Northwest Industrial Exposition","1890","Map of the natural resources in and around Spokane for the 1890 Northwest Industrial Exposition.","maps (documents);townscapes (representations);rivers;mining;agriculture (discipline);industry (economic concept)","Spokane, WA","47.65849572","-117.4203818","Eastern Washington State Historical Society. Ephemera Collection. Northwest Museum of Arts and Culture, Spokane, WA.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_040_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_040.jpg",/make_believe_public/items/make_believe_040.html
"Spokane Falls and Her Natural Resources, Detail","Northwest Industrial Exposition","1890","Detail of a map of the natural resources in and around Spokane for the 1890 Northwest Industrial Exposition.","natural resources;industrial expositions;grids (layout features)","Spokane, WA","47.65849572","-117.4203818","Eastern Washington State Historical Society. Ephemera Collection. Northwest Museum of Arts and Culture, Spokane, WA.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_041_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_041.jpg",/make_believe_public/items/make_believe_041.html
"Northern Light, Lodge No. 70","International Order of Good Templars","1905","Ribbon from the organization.","insignia ribbons;banners;processional banners","Spokane, WA","47.65849572","-117.4203818","Sutton Family Papers, ca. 1884- ca. 1910. MsSC 131. Eastern Washington State Historical Society (Northwest Museum of Arts and Culture). Spokane, WA.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_042_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_042.jpg",/make_believe_public/items/make_believe_042.html
"Spokane -- Parades (#07)","Thomas White Tolman","1905-08-25","Procession of Masonic Blue Lodges to new Temple on Riverside Avenue at dedication.","processions;Ionic columns;bicycles;outbuildings","1110 W Riverside Ave, Spokane, WA","47.65849572","-117.4203818","Spokane Public Library, accessed January 24, 2026, https: //lange.spokanelibrary.org/items/show/2810.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_043_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_043.jpg",/make_believe_public/items/make_believe_043.html
"Damon and Pythias Illustration","Knights of Pythias, Western Star Division, No. 7","1894-01-03","Depiction of the characters Damon and Pythias beneath a banner with the letters FCB, standing for friendship, charity and benevolence.","figures (illustrations);banners;armor","Spokane, WA","47.65849572","-117.4203818","Sutton Family Papers, ca. 1884- ca. 1910. MsSC 131. Eastern Washington State Historical Society (Northwest Museum of Arts and Culture). Spokane, WA.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_044_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_044.jpg",/make_believe_public/items/make_believe_044.html
"Charles Woodruff Clarke","The Fraternal Identification Co. of America","1907-08-21","Fraternal Identification Card.","certificates;printed materials (object genre);signatures (names)","Spokane, WA","47.65849572","-117.4203818","Charles Woodruff Clarke Papers, 1866-1933. Ms 27. Eastern Washington State Historical Society (Northwest Museum of Arts and Culture). Spokane, WA.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_045_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_045.jpg",/make_believe_public/items/make_believe_045.html
"Shriner Cecil Walwrath","Richards Photography Studio","1945","Kodachrome stereoscopic images of Shriner Cecil Walwrath in brown face makeup and pseudo-Middle Eastern dress.","stereoscopic photography;Kodachrome (TM);photographs;performance costumes;cultural appropriation","Tacoma, WA","47.25601169","-122.445065","Northwest Room, Spokane Public Library","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_046_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_046.gif",/make_believe_public/items/make_believe_046.html
"Sixteen Factories in One","The Henderson-Ames Company","1900","Back cover of the company&#39;s catalogue with illustrations of the facilities from various angles.","marginal illustrations;manufactories;industrial buildings;smokestacks;rail transportation equipment","Kalamazoo, MI","42.29157856","-85.5878968","Eastern Washington University Archives, John F. Kennedy Memorial Library, Cheney, WA.","","Image;StillImage","image/jpeg","eng","","http://rightsstatements.org/vocab/NoC-US/1.0/","http://localhost:4000/make_believe_public/objects/thumbs/make_believe_047_th.jpg","http://localhost:4000/make_believe_public/objects/make_believe_047.jpg",/make_believe_public/items/make_believe_047.html
